window,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,explore,update_model
1,0.005171,1,1,4,10,1.11111E+45,1.111E+47,2,6,3.545455,0.913122,4,0,10,6,1,0,0,0
2,0.010215,1,1,5,10,1.11111E+45,1.1E+47,2,6,3.454545,0.913122,3,8,8,6,1,0,0,1
3,0.015491,1,3,2,8,1.11111E+41,1.1E+47,2,5,3.181818,0.891754,3,8,8,5,1,0,0,1
4,0.020523,1,3,2,8,1.11111E+41,1.1E+47,2,6,3.161616,1.002089,3,7,7,6,1,0,0,1
5,0.025744,2,4,4,7,1.11111E+39,1.111E+47,2,6,2.919192,0.895294,3,7,7,6,1,0,0,1
6,0.030765,2,4,4,7,1.11111E+39,1.111E+47,2,5,2.929293,0.699964,3,8,8,5,1,0,0,1
7,0.035908,1,3,3,8,1.11111E+41,1.1E+47,2,6,3.090909,0.964951,3,7,7,6,1,0,0,1
8,0.041051,1,4,3,7,1.11111E+39,1.11111E+41,2,6,2.959596,0.82779,3,7,7,6,1,0,0,1
9,0.046092,3,4,2,7,1.11111E+39,1.10011E+47,2,6,2.846939,0.825018,3,7,7,6,1,0,0,1
10,0.051116,3,4,3,7,1.11111E+39,1.11111E+47,2,6,2.979798,0.909876,3,7,7,6,1,0,0,1
11,0.056136,4,4,4,7,1.11111E+39,1.11111E+47,2,5,2.89899,0.717669,3,8,8,5,1,0,0,1
12,0.061356,3,3,4,8,1.11111E+41,1.11111E+47,2,6,3.060606,0.940859,3,7,7,6,1,0,0,1
13,0.066492,3,4,4,7,1.11111E+39,1.10011E+47,2,5,2.969697,0.936947,3,8,8,5,1,0,0,1
14,0.071607,3,3,3,8,1.11111E+41,1.11111E+47,2,5,3.111111,0.897684,3,8,8,5,1,0,0,1
15,0.076633,3,3,4,8,1.11111E+41,1.11111E+47,2,6,3.222222,0.882553,3,7,7,6,1,0,0,1
