iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,explore,update_model
1,0.005236,0,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000000000011110000111100000000000000000000111111,2,6,3.505155,0.985709,4.000000,0,10,6,1,0,1,0
2,0.010328,0,1,5,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000000110011111100110000000000000000000000111111,2,6,3.428571,1.010153,3.000000,7,7,6,1,0,1,1
3,0.015411,0,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000000000011111100110000000000000000000000111111,2,6,3.479592,1.071234,3.000000,7,7,6,1,0,1,1
4,0.020454,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001100000011000000110000000000000000000000111111,2,6,3.459184,0.949418,3.500000,8,8,6,1,0,0,1
5,0.025712,2,3,5,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111001111001100110000000000000000000000111111,2,6,3.122449,0.982140,3.000000,7,7,6,1,0,0,1
6,0.030948,1,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000110011000011111100000000000000000000111111,2,6,2.979592,0.832743,3.000000,7,7,6,1,0,0,1
7,0.035993,1,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000011000011000011110000000000000000000000111111,2,7,3.091837,0.980282,3.000000,7,7,7,0,0,0,0
8,0.041072,2,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000011000011111100111100000000000000000000111111,2,5,3.071429,0.731925,3.000000,8,8,5,1,0,0,1
9,0.046322,2,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000011110011000000111100000000000000000000111111,2,6,3.346939,1.021224,3.000000,7,7,6,1,0,0,1
10,0.051572,0,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000001111110000110000000000000000000000111111,2,5,3.000000,0.795395,3.000000,8,8,5,1,0,0,1
11,0.056840,0,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000110011001100110000000000000000000000111111,2,6,3.071429,0.917517,3.000000,7,7,6,1,0,0,1
12,0.062081,1,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000011000011000000110000000000000000000000110011,2,5,2.989796,0.826783,3.000000,8,8,5,1,0,0,1
13,0.067250,1,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000011000011001100111100000000000000000000110000,2,6,3.111111,0.874890,3.000000,7,7,6,1,0,0,1
14,0.072407,3,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111110011000000110000000000000000000000110000,2,5,3.111111,0.908866,3.000000,8,8,5,1,0,0,1
15,0.077551,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000000011000011110000000000000000000000110000,2,5,3.131313,0.848605,3.000000,8,8,5,1,0,0,1
16,0.082567,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100001111000000110000000000000000000000110000,2,5,3.151515,0.845232,3.000000,8,8,5,1,0,0,1
17,0.087657,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000000011110000110000000000000000000000001111,2,6,3.000000,0.898933,3.000000,7,7,6,1,0,0,1
18,0.092850,2,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100111111000000110000000000000000000000111111,2,6,2.959184,0.957445,3.000000,7,7,6,1,0,0,1
19,0.097928,1,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000110011000000110000000000000000000000111100,2,6,3.080808,0.950032,3.000000,7,7,6,1,0,0,1
20,0.102969,1,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000110011000000110000000000000000000000110011,2,5,3.091837,0.858175,3.000000,8,8,5,1,0,0,1
