window,pred_peak,upper_bound
1,4,5
2,4,6
3,4,4
4,4,4
5,4,5
6,4,5
7,4,4
8,4,4
9,4,4
10,4,4
11,4,5
12,4,5
13,4,5
14,4,4
15,4,5
16,4,4
18,4,4
19,4,4
20,4,4
21,4,4
22,4,5
23,4,5
24,4,4
25,4,5
26,4,4
27,4,4
28,4,4
30,4,5
31,4,6
32,4,4
33,4,4
34,4,4
35,4,5
36,4,4
37,4,5
38,4,5
39,4,6
40,4,4
41,4,4
42,4,5
43,4,5
44,4,4
45,4,5
46,4,5
47,4,5
48,4,7
50,4,7
52,4,5
53,4,4
54,4,6
55,4,5
57,4,4
58,4,4
59,4,4
60,4,4
61,4,4
62,4,4
63,4,4
64,4,4
65,4,5
66,4,5
67,4,4
68,4,4
69,4,6
70,4,4
71,4,4
72,4,5
73,4,4
74,4,5
75,4,4
76,4,7
77,4,4
78,4,4
79,4,4
80,4,4
81,4,4
82,4,4
83,4,5
84,4,4
85,4,4
86,4,4
87,4,4
88,4,4
89,4,4
90,4,5
91,4,5
92,4,4
93,4,5
94,4,4
95,4,5
97,4,4
98,4,4
99,4,5
100,4,4
101,4,5
102,4,4
103,4,4
104,4,4
105,4,5
106,4,5
107,4,4
108,4,4
109,4,4
110,4,4
111,4,4
112,4,4
114,4,4
115,4,4
116,4,4
117,4,6
118,4,4
119,4,5
120,4,4
121,4,5
122,4,6
124,4,4
125,4,4
127,4,4
128,4,5
129,4,5
130,4,5
131,4,4
132,4,4
133,4,4
134,4,4
135,4,4
136,4,5
137,4,4
138,4,5
139,4,4
140,4,5
141,4,5
142,4,4
143,4,4
144,4,4
145,4,4
146,4,4
147,4,6
148,4,5
149,4,4
150,4,4
151,4,4
152,4,4
153,4,4
154,4,4
155,4,4
156,4,4
158,4,5
159,4,4
160,4,5
161,4,4
162,4,6
163,4,4
165,4,4
167,4,4
168,4,5
169,4,5
170,4,5
171,4,4
172,4,4
173,4,5
174,4,4
175,4,4
176,4,4
177,4,6
178,4,4
179,4,4
181,4,4
182,4,4
183,4,4
184,4,4
185,4,4
186,4,4
187,4,4
188,4,4
189,4,5
190,4,5
191,4,5
192,4,6
193,4,4
194,4,4
195,4,4
196,4,5
197,4,4
198,4,4
199,4,4
200,4,4
202,4,5
203,4,4
204,4,4
205,4,4
206,4,4
207,4,6
208,4,6
209,4,6
210,4,4
211,4,5
212,4,5
213,4,4
214,4,4
215,4,5
216,4,4
217,4,4
218,4,5
219,4,5
220,4,4
221,4,4
222,4,4
223,4,6
224,4,4
225,4,5
226,4,4
227,4,5
228,4,5
229,4,4
230,4,4
231,4,4
232,4,4
233,4,6
234,4,4
235,4,5
238,4,5
239,4,5
240,4,4
241,4,4
242,4,4
243,4,4
244,4,4
245,4,4
246,4,4
247,4,4
248,4,4
249,4,4
250,4,4
251,4,4
252,4,5
253,4,4
254,4,4
255,4,4
256,4,4
257,4,4
258,4,4
259,4,4
260,4,4
261,4,5
262,4,4
263,4,5
264,4,4
265,4,4
266,4,4
267,4,5
268,4,5
269,4,4
270,4,4
271,4,4
272,4,4
273,4,4
274,4,4
275,4,4
276,4,5
277,4,4
278,4,4
279,4,4
280,4,4
281,4,4
282,4,5
283,4,5
284,4,5
285,4,4
286,4,4
287,4,4
288,4,4
289,4,4
290,4,4
291,4,6
292,4,4
293,4,7
294,4,4
295,4,4
296,4,4
297,4,6
298,4,7
299,4,4
300,4,4
301,4,4
302,4,4
303,4,4
304,4,5
305,4,4
306,4,4
307,4,5
308,4,4
309,4,4
310,4,4
311,4,4
312,4,4
313,4,4
314,4,4
315,4,4
316,4,5
