window,pred_peak,upper_bound
0,0,10
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,5
0,4,4
0,4,4
0,4,5
0,4,4
0,4,5
0,4,6
0,4,5
0,4,4
0,4,5
0,4,4
0,4,5
0,4,5
0,4,4
0,4,4
0,4,5
0,4,4
0,4,4
0,4,5
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,5
0,4,5
0,4,4
0,4,4
0,4,5
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,5
0,4,5
0,4,5
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,5
0,4,6
0,4,6
0,4,4
0,4,5
0,4,4
0,4,4
0,4,4
0,4,5
0,4,4
0,4,5
0,4,4
0,4,4
0,4,5
0,4,5
0,4,5
0,4,4
0,4,4
0,4,5
0,4,5
0,4,5
0,4,5
0,4,4
0,4,4
0,4,4
0,4,5
0,4,6
0,4,4
0,4,5
0,4,5
0,4,5
0,4,6
0,4,4
0,4,5
0,4,5
0,4,6
0,4,4
0,4,4
0,4,5
0,4,5
0,4,4
0,4,5
0,4,5
0,4,5
0,4,4
0,4,5
0,4,5
0,4,4
0,4,5
0,4,4
0,4,4
0,4,5
0,4,6
0,4,7
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,5
0,4,4
0,4,5
0,4,5
0,4,4
0,4,4
0,4,5
0,4,6
0,4,5
0,4,4
0,4,5
0,4,5
0,4,6
0,4,5
0,4,4
0,4,5
0,4,4
0,4,5
0,4,4
0,4,5
0,4,4
0,4,5
0,4,4
0,4,5
0,4,5
0,4,5
0,4,4
0,4,4
0,4,4
0,4,5
0,4,6
0,4,5
0,4,6
0,4,5
0,4,4
0,4,4
0,4,5
0,4,5
0,4,5
0,4,4
0,4,5
0,4,6
0,4,4
0,4,5
0,4,5
0,4,4
0,4,5
0,4,5
0,4,5
0,4,5
0,4,6
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,5
0,4,5
0,4,4
0,4,5
0,4,4
0,4,4
0,4,4
0,4,4
0,4,5
0,4,5
0,4,4
0,4,4
0,4,5
0,4,4
0,4,4
0,4,5
0,4,6
0,4,4
0,4,5
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,5
0,4,4
0,4,5
0,4,6
0,4,5
0,4,6
0,4,4
0,4,4
0,4,5
0,4,4
0,4,5
0,4,4
0,4,4
0,4,4
0,4,5
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,5
0,4,4
0,4,4
0,4,4
0,4,5
0,4,5
0,4,4
0,4,5
0,4,4
0,4,5
0,4,4
0,4,4
0,4,4
0,4,5
0,4,6
0,4,4
0,4,4
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,6
0,4,4
0,4,5
0,4,5
0,4,5
0,4,4
0,4,5
0,4,5
0,4,5
0,4,4
0,4,4
0,4,4
0,4,5
0,4,4
0,4,4
0,4,5
0,4,4
0,4,4
0,4,5
0,4,4
0,4,5
0,4,4
0,4,4
0,4,4
0,4,5
0,4,5
0,4,4
0,4,4
0,4,5
0,4,6
0,4,4
0,4,4
0,4,5
0,4,5
0,4,4
0,4,5
0,4,5
0,4,5
0,4,5
0,4,5
0,4,4
0,4,5
0,4,6
0,4,5
0,4,5
0,4,6
0,4,7
0,4,5
0,4,6
0,4,4
0,4,4
0,4,4
0,4,5
0,4,5
0,4,4
0,4,4
0,4,5
0,4,5
0,4,5
0,4,4
0,4,4
0,4,4
0,4,4
0,4,5
0,4,4
0,4,4
0,4,5
0,4,4
0,4,4
0,4,4
0,4,5
0,4,4
0,4,5
0,4,6
0,4,5
0,4,4
0,4,4
0,4,5
0,4,4
0,4,4
0,4,5
0,4,5
0,4,4
0,4,5
0,4,4
0,4,5
0,4,5
0,4,4
0,4,4
0,4,4
0,4,4
0,4,4
0,4,5
0,4,5
0,4,6
0,4,4
0,4,5
0,4,5
0,4,4
0,4,5
