iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,feedback_max,update_model
0,0.005,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100110000110000000000000000000000000000111111,2,7,3.444444,0.966324,3.000000,0,10,7,1,0,7,0
0,0.010,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100000000110000110000000000000000000000111100,2,6,3.464646,0.902445,3.000000,8,8,6,1,0,7,1
1,0.016,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111100000011110000000000000000000000000000111100,2,5,3.080808,0.883939,3.000000,8,8,5,1,0,7,1
1,0.021,2,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111100110000110000000000000000000000000000111100,2,5,3.040404,0.790335,3.000000,8,8,5,1,0,7,1
1,0.026,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111100000011110000000000000000000000000000110011,2,6,3.232323,1.013328,3.000000,7,7,6,1,0,7,1
2,0.031,2,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100001111110000000000000000000000000000111100,2,5,2.878788,0.742270,3.000000,8,8,5,1,0,7,1
3,0.036,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000110000110000000000000000000000111100,2,6,3.121212,0.890724,3.000000,7,7,6,1,0,7,1
4,0.041,2,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111000000110011000000000000000000000000111100,2,5,2.939394,0.862439,3.000000,8,8,5,1,0,7,1
5,0.046,1,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100110000111100001100000000000000000000111100,2,6,3.222222,0.948742,3.000000,7,7,6,1,0,7,1
6,0.051,1,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100110000110000000000000000000000000000111100,2,6,3.161616,1.070326,3.000000,7,7,6,1,0,7,1
6,0.056,1,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111000000110000000000000000000000000000110011,2,5,3.171717,0.943242,3.000000,8,8,5,1,0,7,1
7,0.062,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001111000000110000110000000000000000000000111100,2,6,3.232323,0.940968,3.000000,7,7,6,1,0,7,1
