iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,feedback_max,update_model
0,0.005,1,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111111000000000011001100000000000000000000110011,2,7,3.459184,1.070651,3.000000,0,10,7,1,0,7,0
0,0.010,1,1,5,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110011000000111111001100000000000000000000110000,2,6,3.464646,0.998111,3.000000,4,6,6,1,0,7,1
1,0.016,2,5,2,6,0000000000000000000000000011111111111100000000000000000000000000,0000000000000000001100001100000011001100000000000000000000110000,2,5,2.757576,0.792527,3.000000,4,4,5,1,0,7,1
2,0.021,3,7,3,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000011111111001100000000000000000000110000,2,3,2.252525,0.434461,2.000000,4,4,3,1,0,7,1
2,0.026,3,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001111000011000011001100000000000000000000110000,2,3,2.181818,0.385695,2.000000,4,4,3,1,0,7,1
2,0.031,3,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001111000011000011001100000000000000000000110000,2,4,2.303030,0.481046,2.000000,4,4,4,0,0,7,0
2,0.036,4,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100001111110011001100000000000000000000110011,2,4,2.383838,0.526223,2.000000,4,4,4,0,0,7,0
2,0.041,2,7,3,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000011001111001100000000000000000000001111,2,4,2.363636,0.576554,2.000000,4,4,4,0,0,7,0
2,0.046,1,7,3,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000000000000011001111001100000000000000000000000000,2,4,2.393939,0.528351,2.000000,4,4,4,0,0,7,0
2,0.051,3,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000000000110011110011001100000000000000000000001100,2,4,2.373737,0.596045,2.000000,4,4,4,0,0,7,0
2,0.056,2,7,4,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000000000000011111111111100000000000000000000001100,2,4,2.414141,0.619712,2.000000,4,5,4,0,0,7,0
3,0.061,2,6,3,5,0000000000000000000000000000111111111100000000000000000000000000,0000000000000000001100110000001111001100000000000000000000001100,2,5,2.595960,0.695137,2.000000,4,4,5,0,0,7,0
4,0.067,2,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001111000000000011001100000000000000000000001111,2,4,2.414141,0.550667,2.000000,4,4,4,0,0,7,0
4,0.072,1,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000110000000000000011001100000000000000000000000000,2,4,2.404040,0.530279,2.000000,4,4,4,0,0,7,0
4,0.077,2,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000000011000011000011001100000000000000000000000000,2,3,2.404040,0.490705,2.000000,4,4,3,1,0,7,1
4,0.082,1,7,3,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000000000000011000011111100000000000000000000000000,2,4,2.434343,0.571399,2.000000,4,4,4,0,0,7,0
