iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,feedback_max,update_model
0,0.005,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100000000001111000000000000000000000000001111,2,6,3.489796,0.950241,3.000000,0,10,6,1,0,6,0
0,0.010,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111111000000000011000000000000000000000000111111,2,6,3.484848,1.028519,3.000000,10,10,6,1,0,6,1
0,0.015,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001100110000000011000000000000000000000000000011,2,5,3.454545,0.956348,4.000000,10,10,5,1,0,6,1
0,0.020,1,1,2,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100000000000011000000000000000000000000000011,2,6,3.434343,0.900747,3.000000,10,10,6,1,0,6,1
0,0.025,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100110000000011000000000000000000000000000011,2,7,3.616162,1.098273,3.000000,4,4,7,1,0,7,1
1,0.031,2,7,3,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000111100110011000011000000000000000000000000000011,2,4,2.323232,0.488830,2.000000,4,4,4,0,0,7,0
1,0.036,2,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001111000000110011000000000000000000000000001111,2,4,2.387755,0.582616,2.000000,4,4,4,0,0,7,0
1,0.041,2,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000111100000000001111000000000000000000000000111100,2,4,2.424242,0.604544,2.000000,4,4,4,0,0,7,0
1,0.046,0,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000000000011000000000000001100000000111100,2,4,2.363636,0.501604,2.000000,4,4,4,0,0,7,0
1,0.051,1,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000011000011000000000000001100000000111100,2,4,2.323232,0.547322,2.000000,4,4,4,0,0,7,0
1,0.056,2,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001111000000001111000000000000000000110011111100,2,4,2.353535,0.537731,2.000000,4,4,4,0,0,7,0
1,0.061,3,7,3,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001111111100000011110000000000000000110000111100,2,4,2.323232,0.528544,2.000000,4,4,4,0,0,7,0
1,0.066,2,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001111001100000011000000000000110000000000111100,2,4,2.393939,0.582890,2.000000,4,4,4,0,0,7,0
1,0.071,1,7,3,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100110000110011000000001100000000000000111100,2,4,2.525253,0.641076,2.000000,4,4,4,0,0,7,0
1,0.076,0,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000000000011000000001100110011000000111100,2,4,2.393939,0.582890,2.000000,4,4,4,0,0,7,0
1,0.081,0,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000000000011000000000000110000000000111100,2,4,2.545455,0.590715,2.000000,4,4,4,0,0,7,0
1,0.086,2,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000000110011110000000000000000000000111100,2,4,2.434343,0.553439,2.000000,4,4,4,0,0,7,0
1,0.091,1,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000000110011000000000000000000110000111100,2,4,2.464646,0.556198,2.000000,4,4,4,0,0,7,0
1,0.096,0,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000000000011000000000000000000110000111100,2,3,2.424242,0.494227,2.000000,4,4,3,1,0,7,1
1,0.101,1,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000000001111000000000000110000000000001111,2,4,2.404040,0.510875,2.000000,4,4,4,0,0,7,0
1,0.106,1,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000011000011000000000000110000000011001111,2,4,2.353535,0.518606,2.000000,4,4,4,0,0,7,0
1,0.111,1,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000000110011000000000000000011000000001111,2,4,2.383838,0.580962,2.000000,4,4,4,0,0,7,0
1,0.116,1,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100001100000011000000001100000011000000001111,2,4,2.393939,0.508874,2.000000,4,4,4,0,0,7,0
1,0.121,1,7,4,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100110000110011001100000000000000000000001111,2,4,2.494949,0.609251,2.000000,4,5,4,0,0,7,0
2,0.126,1,6,3,5,0000000000000000000000000000111111111100000000000000000000000000,0000000000000000001100000000110011110000000000000000000000001111,2,4,2.656566,0.653840,3.000000,4,4,4,1,0,7,1
3,0.131,1,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001111000000000011000000000000000000000000001111,2,4,2.373737,0.523891,2.000000,4,4,4,0,0,7,0
3,0.136,1,7,3,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000000001111001100000000000000000000001111,2,4,2.515152,0.641394,2.000000,4,4,4,0,0,7,0
3,0.141,1,7,3,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100110000000011001100000000000000000000001111,2,4,2.383838,0.545080,2.000000,4,4,4,0,0,7,0
3,0.147,0,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000000000011000000000000000000000000001111,2,4,2.383838,0.506664,2.000000,4,4,4,0,0,7,0
3,0.152,1,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001111000000000011000000000000000000000000001111,2,3,2.313131,0.463767,2.000000,4,4,3,1,0,7,1
3,0.157,2,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100111100000011000000000000000000000000001111,2,4,2.383838,0.526223,2.000000,10,10,4,0,0,7,0
4,0.162,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001111000000000011000000000000000000000000111100,2,7,3.424242,1.035637,3.000000,4,4,7,1,0,7,1
5,0.167,3,7,3,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000011110011111100000000000000000000111100,2,4,2.373737,0.542829,2.000000,4,4,4,0,0,7,0
5,0.172,2,7,3,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000011000011111100000000000000000000111100,2,4,2.404040,0.548997,2.000000,4,4,4,0,0,7,0
5,0.177,2,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100001100000011110000000000000000000000111100,2,4,2.454545,0.573360,2.000000,4,4,4,0,0,7,0
5,0.182,0,7,3,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000000000011001100000000000000000000111100,2,4,2.414141,0.512670,2.000000,4,4,4,0,0,7,0
5,0.187,0,7,3,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000000000011001100000000000000000000111100,2,4,2.353535,0.518606,2.000000,4,4,4,0,0,7,0
5,0.192,0,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000000000011000000000000000000000000111100,2,4,2.373737,0.523891,2.000000,4,4,4,0,0,7,0
5,0.197,1,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000011000011000000000000000000000000111100,2,4,2.333333,0.568535,2.000000,4,4,4,0,0,7,0
5,0.202,1,7,2,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000001100000000000011110000000000000000000000111100,2,4,2.484848,0.609083,2.000000,4,4,4,0,0,7,0
5,0.207,2,7,3,4,0000000000000000000000000000001111111100000000000000000000000000,0000000000000000111100000000001111001100000000000000000000111100,2,4,2.393939,0.528351,2.000000,4,4,4,0,0,7,0
