iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,feedback_max,update_model
0,0.005,0,1,5,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001100111100000011001100000000000000000000001100,2,6,3.515152,1.018651,3.000000,0,10,6,1,0,6,0
0,0.010,0,1,2,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001100001100000000000000000000000000000000001100,2,6,3.444444,0.976721,3.000000,10,10,6,1,0,6,1
0,0.015,0,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001100111100000011000000000000000000000000001100,2,6,3.515152,0.925111,3.000000,10,10,6,1,0,6,1
0,0.020,0,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001111111100000000000000000000000000000000001100,2,6,3.343434,0.889463,3.000000,10,10,6,1,0,6,1
0,0.025,0,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001111001100000000110000000000000000000000001100,2,8,3.393939,1.080761,3.000000,4,5,8,1,0,8,1
0,0.030,0,1,2,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001100001100000000000000000000000000000000001100,2,5,3.262626,0.871384,3.000000,4,4,5,0,0,8,1
0,0.035,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001100001111000000000000000000000000000000001100,2,4,3.323232,0.763145,4.000000,4,4,4,0,0,8,1
0,0.041,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001100111100000000000000000000000000000000111100,2,4,3.212121,0.714535,3.000000,4,4,4,0,0,8,1
0,0.046,0,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001100001100001100110000000000000000000000001100,2,4,3.131313,0.733698,3.000000,4,5,4,0,0,8,1
0,0.051,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001100001100000000110000000000000000000000001100,2,5,3.444444,0.878730,3.000000,4,4,5,0,0,8,1
0,0.056,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001100001100000000110000000000000000000000001100,2,4,3.313131,0.705626,3.000000,4,4,4,0,0,8,1
0,0.061,0,1,2,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001100001100000000000000000000000000000000001100,2,4,3.191919,0.799959,3.000000,4,4,4,0,0,8,1
0,0.066,0,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001111001111000000110000000000000000000000001111,2,4,3.303030,0.731051,3.000000,4,5,4,0,0,8,1
0,0.071,0,1,2,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001100001100000000000000000000000000000000001100,2,5,3.434343,0.944539,3.000000,4,4,5,0,0,8,1
0,0.076,0,1,2,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001100001100000000000000000000000000000000001100,2,4,3.262626,0.690277,3.000000,4,4,4,0,0,8,1
0,0.081,0,1,2,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001100001100000000000000000000000000000000001100,2,4,3.262626,0.746519,3.000000,4,4,4,0,0,8,1
0,0.086,0,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001100001111000000111100000000000000000000001100,2,4,3.326531,0.779528,4.000000,4,5,4,0,0,8,1
0,0.091,0,1,2,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001100001100000000000000000000000000000000001100,2,5,3.393939,0.896888,3.000000,4,4,5,0,0,8,1
