"(PDH-CSV 4.0) (Pacific Daylight Time)(420)","\\WIN-N2S56U6S0IO\Processor(_total)\% Idle Time","\\WIN-N2S56U6S0IO\memory\available bytes","\\WIN-N2S56U6S0IO\memory\committed bytes","\\WIN-N2S56U6S0IO\memory\% committed bytes in use","\\WIN-N2S56U6S0IO\memory\page faults/sec","\\WIN-N2S56U6S0IO\memory\free & zero page list bytes"
"05/24/2020 14:04:12.408"," ","7606153216","900702208","8.4950031965260865974"," ","7275294720"
"05/24/2020 14:04:13.419","99.964638360026356168","7605878784","900702208","8.4950031965260865974","17.790502599488938529","7275032576"
"05/24/2020 14:04:14.426","99.965493563715284608","7605878784","900616192","8.4941919214311507602","0","7275032576"
"05/24/2020 14:04:15.438","99.950298308976300632","7605878784","900558848","8.4936510791288810651","0","7275032576"
"05/24/2020 14:04:16.450","99.982704213085668243","7605878784","900558848","8.4936510791288810651","0","7275032576"
"05/24/2020 14:04:17.456","99.957833758275242531","7605878784","900501504","8.49311023682661137","0.99384017857320339218","7275032576"
"05/24/2020 14:04:18.468","99.965594087280180702","7605878784","900501504","8.49311023682661137","0","7275032576"
"05/24/2020 14:04:19.474","99.88809159327742293","7605882880","900415488","8.4922989850147381219","138.21318000884562593","7274967040"
"05/24/2020 14:04:20.481","99.96979446729200447","7605882880","900214784","8.4904060253152646709","1.9866124175791757267","7274967040"
"05/24/2020 14:04:21.490","95.618094915991235894","7571562496","994988032","9.3842631227765842539","24291.413724009584257","7241453568"
"05/24/2020 14:04:22.503","92.443468189151161596","7520153600","1043415040","9.8410040628726136447","22140.889372442194144","7178399744"
"05/24/2020 14:04:23.618","5.6847699789746926058","7516717056","1042579456","9.8331232345274468543","747.43416528687941991","7172497408"
"05/24/2020 14:04:24.814","0","7516794880","1041539072","9.8233108198790137777","76.654927231309102353","7172497408"
"05/24/2020 14:04:26.210","0","7516811264","1041154048","9.8196794534613562888","7.1322692890974774826","7172497408"
"05/24/2020 14:04:27.572","0","7516819456","1040678912","9.815198185344971904","53.982197400786375852","7172489216"
"05/24/2020 14:04:28.862","0","7516819456","1040474112","9.8132665990417056179","85.118106448547734999","7172489216"
"05/24/2020 14:04:30.179","0","7516815360","1040334848","9.8119531315313555098","19.750230982749464204","7172489216"
"05/24/2020 14:04:31.505","0","7516753920","1038577664","9.7953801997460843154","86.303230640311682009","7172489216"
"05/24/2020 14:04:32.768","0","7516782592","1038520320","9.7948393574438146203","7.7981130905754740823","7172489216"
"05/24/2020 14:04:33.994","0","7516782592","1038323712","9.7929850476311948171","1.6579072518603998887","7172489216"
"05/24/2020 14:04:35.299","0","7516786688","1037918208","9.7891605016284533036","9.8809016915647660539","7172489216"
"05/24/2020 14:04:36.538","0","7516786688","1037787136","9.7879243106087496784","0","7172489216"
"05/24/2020 14:04:37.843","0","7517073408","1035153408","9.7630842145912080099","36.755832231679363531","7172489216"
"05/24/2020 14:04:39.125","0","7517073408","1035014144","9.7617707470808579018","60.215976178559827758","7172489216"
"05/24/2020 14:04:40.334","0","7517065216","1034518528","9.7570963226624520814","9.933662176182274095","7172489216"
"05/24/2020 14:04:41.575","0","7517061120","1033412608","9.7466657892211028269","30.547984210872410671","7172501504"
"05/24/2020 14:04:42.948","0","7517077504","1032626176","9.7392485266875592487","11.040147496370551039","7172538368"
"05/24/2020 14:04:44.121","0","7517077504","1032409088","9.7372010605729180099","5.9443611195983381279","7172550656"
"05/24/2020 14:04:45.358","0","7517016064","1032323072","9.7363898087610465382","80.929976066578177551","7172567040"
"05/24/2020 14:04:46.684","0","7515725824","1035821056","9.7693811426333567738","870.67402672426976551","7171596288"
"05/24/2020 14:04:47.962","0","7515181056","1036201984","9.7729738824472232039","1181.2392158836564704","7170842624"
"05/24/2020 14:04:49.194","0","7518642176","1030926336","9.7232164372045577494","502.69608092325660209","7170674688"
"05/24/2020 14:04:50.431","0","7519514624","1030897664","9.7229460044118916073","8.1239652099313843792","7170678784"
"05/24/2020 14:04:51.654","0","7522533376","1023148032","9.6498551102471203933","49.107962053950330983","7173525504"
"05/24/2020 14:04:52.860","0","7522783232","1020469248","9.624590051738682206","2.4879091760558980084","7173980160"
"05/24/2020 14:04:54.046","0","7524012032","1018138624","9.6026086969307176133","63.261483751709640444","7175049216"
"05/24/2020 14:04:55.312","0","7524249600","1018982400","9.610566801766532663","41.074395604091797907","7175200768"
"05/24/2020 14:04:56.603","0","7524392960","1018437632","9.6054288115365036305","10.842152585485532512","7175340032"
"05/24/2020 14:04:57.932","0","7530385408","1011462144","9.5396392535277740876","66.964556111896413881","7181381632"
"05/24/2020 14:04:59.319","0","7530446848","1014308864","9.5664881890561623834","43.817233863998346521","7181578240"
"05/24/2020 14:05:00.578","0","7530622976","1014206464","9.5655224075460623112","7.1799157652282419306","7181701120"
"05/24/2020 14:05:01.825","0","7534080000","1010589696","9.5314107391823572613","3.1885724115627520625","7185076224"
"05/24/2020 14:05:03.148","0","7534137344","1010532352","9.5308698968800875662","3.0356427719334488913","7185178624"
"05/24/2020 14:05:04.585","0","7534235648","1010475008","9.5303290545778178711","221.61528130749672982","7185260544"
"05/24/2020 14:05:05.797","0","7534444544","1010290688","9.5285906245765712441","5.7754503263005672054","7185354752"
"05/24/2020 14:05:07.180","0","7534530560","1010204672","9.5277793727646997723","0","7185440768"
"05/24/2020 14:05:08.413","0","7534567424","1010176000","9.5275089399720336303","10.686523652482799562","7185494016"
"05/24/2020 14:05:09.566","0","7534764032","1010053120","9.5263500021599121226","9.5383424892750010571","7185674240"
"05/24/2020 14:05:10.806","0","7534882816","1009860608","9.5245343189510833781","0.80620078043460341455","7185793024"
"05/24/2020 14:05:12.238","0","7534940160","1009774592","9.523723043856147541","0","7185850368"
"05/24/2020 14:05:13.438","0","7534968832","1009774592","9.523723043856147541","179.12361729064448923","7185887232"
"05/24/2020 14:05:14.637","0","7534977024","1009745920","9.5234526343465439879","0","7185936384"
"05/24/2020 14:05:16.022","0","7535460352","1009545216","9.5215596746470687606","282.89951716339226095","7185883136"
"05/24/2020 14:05:17.337","0","7535407104","1009459200","9.5207484228351972888","197.95258488719053958","7185784832"
"05/24/2020 14:05:18.545","0","7535419392","1009401856","9.5202075805329275937","34.492506010319175402","7185797120"
"05/24/2020 14:05:19.791","0","7535435776","1009344512","9.5196667382306578986","5.6345556025996224037","7185813504"
"05/24/2020 14:05:20.985","0","7535468544","1009344512","9.5196667382306578986","0","7185833984"
"05/24/2020 14:05:22.354","0","7535587328","1009139712","9.5177351519273916125","122.11081783391202293","7185911808"
"05/24/2020 14:05:23.580","53.650490752437043795","7524827136","1004023808","9.4694843304970959252","10284.477917366039037","7174250496"
