iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,explore,update_model
0,0.005,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111111000000000000001100000000000000000000111111,2,6,3.323232,0.962197,3.000000,0,10,6,1,0,1,0
0,0.010,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100000000000011001100000000000000000000110011,2,5,3.393939,0.885554,3.000000,8,8,5,1,0,1,1
0,0.015,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100000011000000001100000000000000000000001111,2,7,3.525253,1.140117,4.000000,7,7,7,1,0,1,1
0,0.020,1,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100001100000011001100000000000000000000001111,2,6,3.464646,1.018150,3.000000,7,7,6,1,0,0,1
1,0.026,0,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100000000000000001100000000000000000000001111,2,5,2.848485,0.795995,3.000000,8,8,5,1,0,0,1
2,0.031,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000000000111100000000000000000000001111,2,6,3.242424,1.005951,3.000000,7,7,6,1,0,0,1
3,0.036,1,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111000011000011001100000000000000000000001111,2,6,3.111111,0.962833,3.000000,7,7,6,1,0,0,1
3,0.041,0,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100000000001111001100000000000000000000110000,2,6,3.131313,1.021451,3.000000,7,7,6,1,0,0,1
3,0.046,1,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111000000110000111100000000000000000000110000,2,5,2.919192,0.848966,3.000000,8,8,5,1,0,0,1
4,0.051,2,3,5,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001111111111001100001100000000000000000000110000,2,6,3.232323,0.951642,3.000000,7,7,6,1,0,0,1
5,0.057,2,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111110000000000001100000000000000000000110000,2,5,2.878788,0.844145,3.000000,8,8,5,1,0,0,1
6,0.062,2,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011000000111100000000000000000000110011,2,6,3.070707,0.966641,3.000000,7,7,6,1,0,0,1
7,0.067,1,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111000011000000111100000000000000000000110000,2,5,3.020202,0.887395,3.000000,8,8,5,1,0,0,1
8,0.072,1,3,5,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001111000011001100111100000000000000000000110011,2,6,3.101010,0.915577,3.000000,7,7,6,1,0,0,1
9,0.077,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100000000000011001100000000000000000000110000,2,6,2.949495,0.857218,3.000000,7,7,6,1,0,0,1
9,0.083,2,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111001100000000111100000000000000000000110000,2,4,2.747475,0.656643,3.000000,8,8,4,1,0,0,1
10,0.088,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100110000000011001100000000000000000000110000,2,6,3.090909,0.899954,3.000000,7,7,6,1,0,0,1
11,0.093,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100000000000000111100000000000000000000110000,2,5,2.909091,0.711960,3.000000,8,8,5,1,0,0,1
12,0.098,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000000000111100000000000000000000110000,2,6,3.333333,0.974420,3.000000,7,7,6,1,0,0,1
13,0.103,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100110000001100000000000000000000110000,2,5,2.969697,0.809721,3.000000,8,8,5,1,0,0,1
14,0.109,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000000000001100000000000000000000110000,2,5,3.030303,0.784374,3.000000,8,8,5,1,0,0,1
14,0.114,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000000000001100000000000000000000110000,2,5,3.020202,0.931815,3.000000,8,8,5,1,0,0,1
14,0.119,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000000000001100000000000000000000110000,2,5,3.070707,0.781769,3.000000,8,8,5,1,0,0,1
14,0.124,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000000000001100000000000000000000110000,2,5,3.050505,0.808712,3.000000,8,8,5,1,0,0,1
14,0.129,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110011000000001100000000000000000000110000,2,5,3.121212,0.934985,3.000000,8,8,5,1,0,0,1
14,0.134,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000110000001100000000000000000000110000,2,6,3.101010,0.846800,3.000000,7,7,6,1,0,0,1
15,0.139,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100000000001100000000000000000000110000,2,5,2.929293,0.945511,3.000000,8,8,5,1,0,0,1
16,0.144,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000000000111100000000000000000000111111,2,6,3.285714,0.958315,3.000000,7,7,6,1,0,0,1
17,0.149,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111000011001100000000000000000000111100,2,5,3.222222,0.871033,3.000000,8,8,5,1,0,0,1
18,0.155,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000000011001100000000000000000000111100,2,8,3.353535,1.094644,3.000000,7,7,8,0,0,1,0
19,0.160,1,1,5,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100001100111100001100000000000000000000111100,2,7,3.515152,1.028519,3.000000,7,7,7,1,0,0,1
20,0.165,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000000001100000000000000000000111100,2,5,2.949495,0.821107,3.000000,8,8,5,1,0,0,1
21,0.170,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110011000000001100000000000000000000111111,2,6,3.212121,0.924118,3.000000,7,7,6,1,0,0,1
22,0.175,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100000011111100000000000000000000111111,2,6,3.202020,0.942593,3.000000,7,7,6,1,0,0,1
22,0.180,1,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111000000000011001100000000000000000000111111,2,6,3.141414,0.840996,3.000000,7,7,6,1,0,0,1
22,0.185,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100110011001100000000000000000000111111,2,5,3.030303,0.822101,3.000000,8,8,5,1,0,0,1
23,0.190,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000000011001100000000000000000000111100,2,5,3.060606,0.814244,3.000000,8,8,5,1,0,0,1
23,0.195,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000110000001100000000000000000000111100,2,5,2.969697,0.846318,3.000000,8,8,5,1,0,0,1
23,0.200,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000000000001100000000000000000000111100,2,6,3.080808,0.848966,3.000000,7,7,6,1,0,0,1
24,0.205,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100000000001100000000000000000000111100,2,5,3.101010,0.834786,3.000000,8,8,5,1,0,0,1
25,0.211,3,3,5,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110011110011001100000000000000000000110011,2,7,3.525253,0.977974,3.000000,7,7,7,1,0,0,1
26,0.216,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100110011001100000000000000000000110011,2,6,3.393939,0.962091,3.000000,7,7,6,1,0,1,1
27,0.221,1,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100000000111100001100000000000000000000110011,2,7,3.454545,1.027626,3.000000,7,7,7,1,0,0,1
