iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,explore,update_model
0,0.005,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000011110000000000001100000000000000000000111100,2,7,3.353535,1.047490,3.000000,0,10,7,1,0,0,0
0,0.010,0,1,2,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000011000000000000001100000000000000000000110011,2,6,3.404040,0.886705,3.000000,4,4,6,1,0,0,1
0,0.015,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000011000000110000001100000000000000000000110000,2,4,3.222222,0.675032,3.000000,4,4,6,0,0,0,1
0,0.020,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110011000000110000001100000000000000000000000011,2,4,3.181818,0.783203,3.000000,4,4,5,0,0,0,1
0,0.025,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000011000011000000001100000000000000000000000011,2,4,3.363636,0.658350,3.000000,4,4,7,0,0,0,1
0,0.030,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000011000000110000001100000000000000000000000011,2,4,3.363636,0.673519,3.000000,4,4,7,0,0,0,1
0,0.036,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000011000000000000111100000000000000000000000011,2,4,3.255102,0.773426,3.000000,4,4,7,0,0,0,1
0,0.041,0,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001111000000110000001100000000000000000000000011,2,4,3.303030,0.771389,3.000000,4,5,7,0,0,0,1
0,0.046,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110011000000000011001100000000000000000000110011,2,5,3.474747,0.946481,3.000000,4,4,6,0,0,0,1
0,0.051,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000011000000000000111100000000000000000000110011,2,4,3.343434,0.698651,3.000000,4,4,7,0,0,0,1
0,0.056,0,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001111000000001100001100000000000000000000000011,2,4,3.252525,0.769933,3.000000,4,5,7,0,0,0,1
0,0.061,1,1,5,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110011110011110000001100000000000000000000000011,2,5,3.474747,0.998417,3.000000,4,6,6,0,0,0,1
0,0.066,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001111000000000000001100000000000000000000000011,2,6,3.414141,0.953570,3.000000,4,4,6,0,0,0,1
0,0.071,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000011001100000000001100000000000000000000001111,2,4,3.242424,0.726009,3.000000,4,4,6,0,0,0,1
0,0.076,0,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000011000000001111001100000000000000000000001111,2,4,3.171717,0.765947,3.000000,4,5,6,0,0,0,1
0,0.081,1,1,5,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110011000000111111001100000000000000000000001111,2,5,3.303030,0.915131,3.000000,4,6,7,0,0,0,1
0,0.086,1,1,5,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110011001100001100111100000000000000000000001111,2,6,3.464646,1.037802,3.000000,4,6,7,0,0,0,1
0,0.091,1,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111111110000000000001100000000000000000000001111,2,6,3.454545,0.966852,3.000000,4,5,7,0,0,0,1
0,0.096,0,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000011000000001111001100000000000000000000001111,2,5,3.474747,0.977974,3.000000,4,5,6,0,0,0,1
0,0.101,1,1,5,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111111111100000000111100000000000000000000001111,2,5,3.494949,0.998724,3.000000,4,6,8,0,0,0,1
0,0.106,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110011000000000011001100000000000000000000001111,2,6,3.434343,0.965690,3.000000,4,4,6,0,0,0,1
0,0.111,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111111000000000000001100000000000000000000001111,2,4,3.333333,0.696311,3.000000,4,4,7,0,0,0,1
0,0.116,1,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110011000011000011001100000000000000000000001111,2,4,3.292929,0.714249,3.000000,4,5,7,0,0,0,1
0,0.121,1,1,5,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110011001100111100001100000000000000000000001111,2,5,3.383838,0.971379,3.000000,4,6,7,0,0,0,1
0,0.126,0,1,5,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000011000011110000111100000000000000000000001111,2,6,3.515152,1.085847,3.000000,4,6,7,0,0,0,1
