iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,explore,update_model
0,0.005,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000000000000110011001100000000000000000000110000,2,6,3.353535,1.018150,3.000000,0,10,6,1,0,1,0
0,0.010,0,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000011000000110011001100000000000000000000110000,2,6,3.414141,1.015139,3.000000,7,7,6,1,0,1,1
0,0.015,1,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100000000000011111100000000000000000000110000,2,6,3.424242,1.015943,3.000000,7,7,6,1,0,1,1
0,0.020,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110000000000110011001100000000000000000000110000,2,6,3.494949,0.925222,3.000000,8,8,6,1,0,0,1
1,0.026,1,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000110000000011110011001100000000000000000000110000,2,6,3.081633,0.954832,3.000000,7,7,6,1,0,0,1
2,0.031,1,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000110000000011001100000000000000000000110000,2,5,2.959596,0.815496,3.000000,8,8,5,1,0,0,1
3,0.036,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000000000001111001100000000000000000000110000,2,5,3.070707,0.794584,3.000000,8,8,5,1,0,0,1
3,0.041,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000000011111100000000000000000000110000,2,7,3.151515,0.925111,3.000000,7,7,7,1,0,0,1
4,0.046,0,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000000000000011001100000000000000000000110000,2,5,3.030303,0.926103,3.000000,8,8,5,1,0,0,1
5,0.051,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100001100000011001100000000000000000000110000,2,6,3.101010,0.904478,3.000000,7,7,6,1,0,0,1
6,0.056,1,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000011000000001111001100000000000000000000110000,2,5,2.919192,0.774294,3.000000,8,8,5,1,0,0,1
7,0.062,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100110000000011001100000000000000000000110000,2,6,3.101010,0.926544,3.000000,7,7,6,1,0,0,1
8,0.067,0,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000110000110011001100000000000000000000110000,2,4,2.939394,0.722205,3.000000,8,8,4,1,0,0,1
9,0.072,2,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001111110000000011001100000000000000000000110000,2,6,3.202020,0.953249,3.000000,7,7,6,1,0,0,1
10,0.077,0,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000000000000011001100000000000000000000110000,2,4,2.909091,0.739791,3.000000,8,8,4,1,0,0,1
11,0.082,0,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000000000000011001100000000000000000000110000,2,5,3.191919,0.860782,3.000000,8,8,5,1,0,0,1
11,0.087,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000000000000011111100000000000000000000110000,2,6,3.212121,0.934985,3.000000,7,7,6,1,0,0,1
12,0.092,0,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000000000000011001100000000000000000000110000,2,5,2.919192,0.787231,3.000000,8,8,5,1,0,0,1
13,0.097,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000110000000011000011001100000000000000000000110000,2,6,3.151515,0.833196,3.000000,7,7,6,1,0,0,1
14,0.102,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000001100000011001100000000000000000000110000,2,5,2.898990,0.834786,3.000000,8,8,5,1,0,0,1
15,0.108,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000110000000011001100000000000000000000110011,2,5,3.030303,0.809721,3.000000,8,8,5,1,0,0,1
15,0.113,1,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000011000000000011001100000000000000000000110011,2,5,3.171717,0.841360,3.000000,8,8,5,1,0,0,1
15,0.118,2,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001111001100000011001100000000000000000000110011,2,5,3.111111,0.827420,3.000000,8,8,5,1,0,0,1
15,0.123,0,3,6,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000110000111111111100000000000000000000110011,2,6,3.050505,0.978287,3.000000,7,7,6,1,0,0,1
16,0.128,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000000000000011111100000000000000000000110011,2,5,3.090909,0.841966,3.000000,8,8,5,1,0,0,1
17,0.133,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000000000000011111100000000000000000000110011,2,6,3.141414,0.964104,3.000000,7,7,6,1,0,0,1
18,0.138,0,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000000000001111111100000000000000000000110011,2,5,2.939394,0.838688,3.000000,8,8,5,1,0,0,1
19,0.143,1,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000000011001100000000000000000000110011,2,6,3.050505,0.946805,3.000000,7,7,6,1,0,0,1
20,0.148,3,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111000000110011001100000000000000000000110011,2,5,3.020202,0.963787,3.000000,8,8,5,1,0,0,1
21,0.153,0,3,5,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000110011000011111100000000000000000000111100,2,5,3.080808,0.928524,3.000000,8,8,5,1,0,1,1
22,0.159,0,1,2,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000000000000000011001100000000000000000000111100,2,6,3.474747,0.977974,3.000000,7,7,6,1,0,0,1
23,0.164,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000000000110011001100000000000000000000111100,2,6,2.939394,0.972534,3.000000,7,7,6,1,0,0,1
23,0.169,3,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111110011000011001100000000000000000000111100,2,5,2.909091,0.853879,3.000000,8,8,5,1,0,0,1
24,0.174,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000000011001100000000000000000000111100,2,5,3.030303,0.881396,3.000000,8,8,5,1,0,0,1
24,0.179,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000000011111100000000000000000000111100,2,6,3.313131,1.050699,3.000000,7,7,6,1,0,0,1
25,0.184,2,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111001100110011111100000000000000000000111100,2,5,2.777778,0.785674,3.000000,8,8,5,1,0,0,1
26,0.189,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000011110000000011001100000000000000000000111111,2,6,3.171717,0.953891,3.000000,7,7,6,1,0,0,1
27,0.194,2,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100000000000011001100000000000000000000111100,2,5,2.969697,0.822101,3.000000,8,8,5,1,0,0,1
28,0.199,1,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000011000000000011001100000000000000000000111100,2,5,3.111111,0.839539,3.000000,8,8,5,1,0,0,1
28,0.204,2,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001111000011000011001100000000000000000000111100,2,6,3.060606,1.003209,3.000000,7,7,6,1,0,0,1
29,0.210,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000000000001111001100000000000000000000111100,2,5,2.979798,0.828529,3.000000,8,8,5,1,0,0,1
30,0.215,0,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000000000001111111100000000000000000000111100,2,6,3.151515,0.935966,3.000000,7,7,6,1,0,1,1
31,0.220,0,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001100110000000011001100000000000000000000111100,2,6,3.383838,0.928854,3.000000,7,7,6,1,0,0,1
32,0.225,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000000000000011111100000000000000000000111111,2,5,2.909091,0.779678,3.000000,8,8,5,1,0,0,1
33,0.230,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000111100000011001100000000000000000000111100,2,6,3.060606,0.874073,3.000000,7,7,6,1,0,0,1
34,0.235,1,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000001100000011001100000000000000000000110011,2,5,2.858586,0.765547,3.000000,8,8,5,1,0,0,1
35,0.240,0,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000110011000011001100000000000000000000110011,2,6,2.979798,0.828529,3.000000,7,7,6,1,0,0,1
36,0.246,1,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100000000110011001100000000000000000000110011,2,5,2.878788,0.890724,3.000000,8,8,5,1,0,0,1
37,0.251,2,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001111001100001111001100000000000000000000110011,2,6,3.111111,0.851486,3.000000,7,7,6,1,0,1,1
38,0.256,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000000001100000011001100000000000000000000111111,2,6,3.464646,0.967274,3.000000,7,7,6,1,0,0,1
