iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,explore,update_model
0,0.005,1,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110011000000110011001100000000000000000000111100,2,6,3.414141,1.044564,3.000000,0,10,6,1,0,0,0
0,0.010,0,1,5,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001111000000110011001100000000000000000000110000,2,7,3.454545,1.027626,3.000000,7,7,7,1,0,0,1
1,0.016,2,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000111100110011001100000000000000000000110000,2,5,2.919192,0.836983,3.000000,8,8,5,1,0,0,1
2,0.021,2,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000111111000011001100000000000000000000110000,2,5,3.101010,0.846800,3.000000,8,8,5,1,0,0,1
2,0.026,1,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000110000000011001100000000000000000000110000,2,5,3.111111,0.827420,3.000000,8,8,5,1,0,0,1
2,0.031,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111100000000000011001100000000000000000000111100,2,5,3.262626,0.847883,3.000000,8,8,5,1,0,0,1
2,0.036,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000011000000000011001100000000000000000000110000,2,5,3.101010,0.858645,3.000000,8,8,5,1,0,0,1
2,0.041,2,3,5,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001111111100001111001100000000000000000000111100,2,6,3.131313,0.883593,3.000000,7,7,6,1,0,0,1
3,0.046,1,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111110000110011001100000000000000000000110000,2,6,3.010101,0.870330,3.000000,7,7,6,1,0,0,1
3,0.051,1,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000001100000011001100000000000000000000110000,2,5,2.959596,0.803014,3.000000,8,8,5,1,0,0,1
4,0.057,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000011000000000011001100000000000000000000110000,2,5,3.040404,0.709520,3.000000,8,8,5,1,0,0,1
4,0.062,2,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000110000110000110011111100000000000000000000111100,2,6,3.111111,0.930829,3.000000,7,7,6,1,0,0,1
5,0.067,2,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100000000000011001100000000000000000000110011,2,6,2.818182,0.820983,3.000000,7,7,6,1,0,0,1
5,0.072,0,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000000000000011001100000000000000000000110000,2,5,2.909091,0.711960,3.000000,8,8,5,1,0,0,1
6,0.077,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000110000000011111100000000000000000000111100,2,5,2.969697,0.809721,3.000000,8,8,5,1,0,0,1
6,0.082,1,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000110000000000000011001100000000000000000000110000,2,6,3.000000,0.887625,3.000000,7,7,6,1,0,0,1
7,0.088,1,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100001100000011001100000000000000000000111100,2,5,2.818182,0.783203,3.000000,8,8,5,1,0,0,1
8,0.093,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000011001100000011001100000000000000000000110011,2,5,3.050505,0.833318,3.000000,8,8,5,1,0,0,1
8,0.098,0,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000001111000011001100000000000000000000110000,2,7,3.222222,0.969802,3.000000,7,7,7,1,0,0,1
9,0.103,2,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111000011000011001100000000000000000000110000,2,6,2.939394,0.862439,3.000000,7,7,6,1,0,0,1
9,0.108,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000000011000011001100000000000000000000110000,2,5,2.676768,0.722346,3.000000,8,8,5,1,0,0,1
10,0.113,1,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000011000000000011001100000000000000000000110000,2,5,2.898990,0.834786,3.000000,8,8,5,1,0,0,1
10,0.118,1,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000011000000000011001100000000000000000000110000,2,5,2.969697,0.846318,3.000000,8,8,5,1,0,0,1
10,0.123,2,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001111000000110011001100000000000000000000110000,2,5,3.050505,0.903123,3.000000,8,8,5,1,0,0,1
10,0.128,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000000011001100000000000000000000110000,2,6,3.181818,0.998622,3.000000,7,7,6,1,0,0,1
11,0.133,1,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000011000000000011001100000000000000000000110000,2,7,2.909091,1.015943,3.000000,7,7,7,0,0,0,0
11,0.138,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000011001100000000000000000000110000,2,5,3.101010,0.858645,3.000000,8,8,5,1,0,0,1
12,0.143,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000000011001100000000000000000000110000,2,6,3.343434,0.986388,3.000000,7,7,6,1,0,0,1
13,0.148,3,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111000000000011001100000000000000000000111100,2,5,3.000000,0.840875,3.000000,8,8,5,1,0,0,1
14,0.154,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111001100000011001100000000000000000000111100,2,7,3.111111,0.962833,3.000000,7,7,7,1,0,0,1
15,0.159,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000000011001100000000000000000000111100,2,5,2.666667,0.752101,3.000000,8,8,5,1,0,0,1
16,0.164,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000000011001100000000000000000000110000,2,5,2.949495,0.808712,3.000000,8,8,5,1,0,0,1
16,0.169,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000000011111100000000000000000000110011,2,5,2.878788,0.819864,3.000000,8,8,5,1,0,0,1
16,0.174,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111111100000011001100000000000000000000110000,2,6,3.181818,0.957307,3.000000,7,7,6,1,0,0,1
17,0.179,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111000011000011001100000000000000000000110000,2,5,3.060606,0.919136,3.000000,8,8,5,1,0,0,1
18,0.184,3,3,5,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000001111111100000000000000000000110000,2,6,3.111111,0.908866,3.000000,7,7,6,1,0,0,1
19,0.189,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111001100001111001100000000000000000000000000,2,6,3.323232,0.940968,3.000000,7,7,6,1,0,0,1
