6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.4444440000000003 stddev:0.966324 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.464646 stddev:0.902445 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.080808 stddev:0.8839389999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.040404 stddev:0.790335 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.232323 stddev:1.013328 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.878788 stddev:0.74227 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.121212 stddev:0.890724 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.939394 stddev:0.862439 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.222222 stddev:0.948742 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.161616 stddev:1.070326 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.1717169999999997 stddev:0.943242 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.232323 stddev:0.940968 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.141414 stddev:0.932143 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.252525 stddev:0.9464809999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.8484849999999997 stddev:0.756969 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.20202 stddev:0.953249 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.959596 stddev:0.8277899999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.1515150000000003 stddev:0.9986219999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.9898990000000003 stddev:0.784895 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.060606 stddev:0.8855540000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.89899 stddev:0.948097 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.8484849999999997 stddev:0.783203 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:2.949495 stddev:0.967907 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.89899 stddev:0.8586450000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.0101009999999997 stddev:0.8932399999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.050505 stddev:0.936075 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.050505 stddev:0.988558 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.050505 stddev:0.845353 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.050505 stddev:0.9782870000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.868687 stddev:0.661288 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.080808 stddev:0.928524 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.939394 stddev:0.8968879999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.040404 stddev:0.764347 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.191919 stddev:0.836983 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.232323 stddev:0.814369 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.272727 stddev:0.930061 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.0 stddev:0.840875 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.212121 stddev:0.8198639999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.090909 stddev:0.8656280000000001 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.222222 stddev:0.9162459999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.121212 stddev:0.9772430000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.838384 stddev:0.837349 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.252525 stddev:0.808333 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.111111 stddev:0.9628329999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.959596 stddev:0.790335 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.30303 stddev:1.095948 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.131313 stddev:1.031293 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.090909 stddev:0.933018 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.090909 stddev:0.8656280000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.070707 stddev:0.8557889999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.222222 stddev:0.8475219999999999 med:3.0
4:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.181818 stddev:0.925111 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:4 avg:2.979798 stddev:0.75183 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.1717169999999997 stddev:0.995347 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.949495 stddev:0.808712 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.060606 stddev:0.982865 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.969697 stddev:0.834297 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.121212 stddev:1.037409 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.919192 stddev:0.799959 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.030303 stddev:0.904026 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.9898990000000003 stddev:0.79766 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.161616 stddev:0.884286 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.030303 stddev:0.8581700000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.979798 stddev:0.7911100000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.272727 stddev:0.940859 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.949495 stddev:0.833318 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.272727 stddev:1.032973 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.070707 stddev:0.7687390000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.252525 stddev:0.902784 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.030303 stddev:0.797148 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.1717169999999997 stddev:0.888085 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.313131 stddev:0.8835930000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.191919 stddev:0.960606 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.9898990000000003 stddev:0.948097 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.868687 stddev:0.773898 med:3.0
4:0:1 |busy_cores_prev_interval min:2 max:7 avg:2.878788 stddev:0.913122 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:4 avg:2.747475 stddev:0.7432310000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.949495 stddev:0.9142389999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.969697 stddev:0.834297 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.020202 stddev:0.778237 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.040404 stddev:0.8636219999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.040404 stddev:0.8518450000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.929293 stddev:0.819615 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.10101 stddev:0.8468 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.080808 stddev:0.93934 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.858586 stddev:0.724884 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.070707 stddev:0.890494 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.161616 stddev:0.9068430000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.9898990000000003 stddev:0.8225969999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.89899 stddev:0.8102239999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.1717169999999997 stddev:0.995347 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.949495 stddev:0.8211069999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.232323 stddev:0.9829690000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.070707 stddev:0.7817689999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.929293 stddev:0.901766 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.050505 stddev:0.9468049999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.1515150000000003 stddev:0.8331959999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.161616 stddev:0.960924 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.0 stddev:0.816497 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.919192 stddev:0.8724370000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.909091 stddev:0.753321 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.979798 stddev:0.7911100000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.181818 stddev:0.8803540000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.9898990000000003 stddev:0.7452880000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.292929 stddev:0.9455110000000001 med:3.0
